,name,times,country,raiting,link_name,text_all
0,Danny J,7 часов назад,CA,4 звезды: Отлично,Fast food is a guilty pleasure for many…,Fast food is a guilty pleasure for many people including me
1,Ruth Menendez,3 дней назад,EE,5 звезд: Замечательно,Mcdonalds is my guilty pleasure :),
2,Neil,4 дней назад,AU,2 звезды: Ниже среднего,Have it your way?,"With a slogan like that you think they'd make every customers experience a 5/5!

When I ask for my big mac they give me a double cheese with no cheese
When I ask for medium fry they give me small and charge for medium!

I've tried 3 different locations now and everytime something goes not my way :(

Employees don't seem happy... And won't take my tips if I try to offer! They should be able to accept tips!

I'll still go but this is unacceptable..."
3,Tamara,5 дней назад,ES,1 звезда: Плохо,Unos incompetentes,
4,K Hewawasam,5 дней назад,US,1 звезда: Плохо,30+ minutes in drive thru,30+ minutes in drive thru line every week and still my order is never correct. The McDonalds in Indy are awful. Never been to one that got my whole order correct.
5,Mario Picazo,6 дней назад,ES,1 звезда: Плохо,Muchas veces se equivocan con los…,"Muchas veces se equivocan con los productos y a veces les faltan un monton de cosas por poner, hoy he pedido una macroyal deluxe y en la caja iba una Hamburguesa con carne de pollo y lechuga, no pueden pensar en el cliente macho, lo tienen que hacer todo de correprisas."
6,Michelle+Pedersen,1 мар. 2021 г.,DK,5 звезд: Замечательно,Min anden yndlingsfastfood shop,"Min anden yndlingsfastfood shop. Elsker maden, men hader de slatne fritter. God kundeservice og rådgivning"
7,Mark,1 мар. 2021 г.,PL,4 звезды: Отлично,Good & fast food.,
8,Oscar Muñoz Piquero,28 февр. 2021 г.,ES,1 звезда: Плохо,León,"León, - 5°C el dia de Año Nuevo. Fui por el McAuto y una pobre dependienta muerta de frio recogiendo pedidos y cobrando en la calle. Realmente es necesario? No será mejor que esté en su ventanilla y no pasando frio y comiendose los humos de los coches ...? Por qué no prueba el encargado a ponerse él una noche en vez de estar dentro, de brazos cruzados y en manga corta...?? Vergüenza como tratais a vuestra gente!!"
9,Felicia Johnson,25 февр. 2021 г.,US,4 звезды: Отлично,Me and kids like the new menu soo much,Me and kids like the new menu soo much! It's a bit pricey so that's why 4 stars!
10,Jenifer Talbott,21 февр. 2021 г.,US,1 звезда: Плохо,Absolutely rediculous,"Yikes! My third go-round for the best chicken sandwich is at McDonald's. I truly wish I had skipped them altogether. I have never liked much of anything at McDonald's (cept' the french fries!) so, I was fearful going in. I was right unbelievably bad...bad piece of chicken to begin with, terrible fried I think the oil was old. I bought my daughter and myself the ""meal"" I don't usually eat french fries but like I said they make good ones! I resented the fact I had to buy ""medium"" sizes...too much food for the both of us! These two meals totaled somewhere around $20.00 YIKES again! We ate the french fries tossed the incredibly SWEET tea and fed the birds again...boy I hope I am not killing birds everywhere! Next week we try Cain's"
11,ESTER,18 февр. 2021 г.,ES,5 звезд: Замечательно,Excelente servicio,"Excelente servicio, relación calidad/precio, medidas sanitarias, etc... Todo."
12,sb,16 февр. 2021 г.,FR,4 звезды: Отлично,It's nice very nice,
13,Jessy angelton,13 февр. 2021 г.,AU,3 звезды: Средне,very tasts but expensive,
14,Nicholas Car,12 февр. 2021 г.,SG,4 звезды: Отлично,Very taste 😂,
15,Félix Navas Mir,11 февр. 2021 г.,ES,1 звезда: Плохо,macdonalds avenida josep tarradellas140 barcelona,"El otro día contraté un globo que contenía un pedido para una familia de 8 miembros. No recuerdo el importe. Quizás sobre 50€. El caso es que MC no puso las patatas en el pedido. Hasta ahí, ok. Todos cometemos errores. Llamé a MC por teléfono. Les expliqué mi caso y me dijeron que ese era mi problema. Yo expliqué que MC debería haber puesto las patatas en el globo. La persona que me atendía por teléfono (quien se identificó como la responsable) me llamo cariñín, me dijo que me las arreglara, me preguntó si me sobraba el tiempo... Escribí al servicio de atención al cliente de MC. Me han enviado el típico mensaje de sentimos las molestias. No se harán cargo de las patatas, porque no tienen el recibo. Yo no lo encuentro, pero si yo fuese el gerente del MC, me presentaría en mi casa y pediría disculpas. Lo de menos son las malditas patatas. Lo demás, el trato vejatorio al cliente.y Pensándolo todo, no sé que hice yendo a MC, cuando hay otras empresas mucho mejores, véase BKING."
16,Morag Noname,9 февр. 2021 г.,GB,5 звезд: Замечательно,Mc Donald’s,"Mc Donald’s, is what it is.

Fast food. Normally great occasionally cold chips.

Cheap prices so what do you really expected

Love a mc d’s.

Morag"
17,Herbert Dombroski,9 февр. 2021 г.,GB,2 звезды: Ниже среднего,I have been visited every weekend,I have been visited every weekend. And it's a nice place to eats without any disturbance.
18,Its Mohammed,9 февр. 2021 г.,US,2 звезды: Ниже среднего,You get what you pay for...,
19,Rainbow,5 февр. 2021 г.,CA,5 звезд: Замечательно,Still one of my favourite fast food…,Still one of my favourite fast food restaurants!!!
20,Vania Moura Moura,5 февр. 2021 г.,BR,1 звезда: Плохо,Boa noite a todos,"Boa noite a todos. Galera a tecnologia esta ao nosso alcance, mas o McDonald's desaprendeu a atender com acolhimento e atenção. Já não é a primeira vez que fico esperando atendimento e seus funcionários ficam alucinados em atender as solicitações do drive thru. Parecem um bando correndo pro lado e pro outro e, esquecem do atendimento físico dentro da loja. Esquecem de olhar na sua cara e dizer o básico bom dia, boa tarde ou boa noite. Hj pedi um lanche e atendente alem de me fazer esperar, registrou errado e ainda me disse que estava errada sem olhar na minha cara. A pressa dela em embalar os lanches era tanta que nem sequer deu conta do quanto foi arrogante em dizer que estava eu errada. Nem me pediu desculpas pelo erro dela e parecia que estava me fazendo um favor. Gente explodi coisa rara de se fazer.
Acho que a galera por ter equipamentos dentro da loja automático. Esqueceram da atenção e acolhimento em atender."
21,Clarence French,3 февр. 2021 г.,US,2 звезды: Ниже среднего,I pull through the drive-thru and the…,I pull through the drive-thru and the customer service is excellent.
22,alex bras,3 февр. 2021 г.,PT,1 звезда: Плохо,os empregados não coneheciam o deus lil…,os empregados não coneheciam o deus lil peep que é o melhor cantor do mudo mas a comida tava boa
23,LasagnaFresh,2 февр. 2021 г.,US,3 звезды: Средне,Billion dollar company that can’t use…,Billion dollar company that can’t use grade a BEEF and ingredients. McDonalds ain’t taste the same since the early days.
24,mark clarke,31 янв. 2021 г.,GB,1 звезда: Плохо,Ordered 5 meals at worksop branch via…,"Ordered 5 meals at worksop branch via uber when they arrived the burgers were cold and there were no fries at all with the meals,i rung WORKSOP BRANCH and they blamed uber but we watched the order on the mobile being prepared and then being delivered now we live 4 mins away from the WORKSOP BRANCH and they blamed uber we only ordered so we dont have to wait in a queue,now i blame uber for no fries because the driver may of forgot but how can you blame them for cold burgers???steer clear away from the WORKSOP BRANCH OF mc donalds..total crap service..pay peanuts and you get???"
25,Heaven Leigh,30 янв. 2021 г.,US,3 звезды: Средне,Decent Food,"Sometimes the food at our local McDonald's tastes really fresh, other times it's awful. I usually order the Buttermilk Chicken sandwich...but the last time I got it it was so dry and tasteless that I don't think I'll be ordering it again. Still, prices aren't bad and my kids never have any complaints."
26,RS C,29 янв. 2021 г.,ES,2 звезды: Ниже среднего,Por favor controlen el McDonalds de…,"Por favor controlen el McDonalds de Almendralejo (Badajoz), el otro día me pedí la Signature de cabra y la carne estaba en mal estado, sabía a pasada, no me la comí, no me había pasado nunca antes esto en ningún otro McDonalds, pero no solo eso, ya he tenido varias malas experiencias en este local, demora de pedidos, que se confundan constantemente, este establecimiento en concreto va a cerrar pronto, lo están gestionado muy mal"
27,Thomas Vaughan,28 янв. 2021 г.,US,3 звезды: Средне,I seem to experience egg shells in…,"I seem to experience egg shells in breakfast sandwiches far too often. It seems to be more at some locations than others. Think it may be the aspiring chef in the cooks trying to do the one handed egg breaks. No matter the reason, egg shells totally ruin a good egg sandwich. Wish McDonald’s would address this issue."
28,Alison,28 янв. 2021 г.,US,1 звезда: Плохо,Their food is complete poison ☠️,
29,Maximilian,26 янв. 2021 г.,DE,3 звезды: Средне,Naja,"Naja, das Personal ist nicht so nett und für die Qualität ist der Preis von dem Essen ein bisschen hoch"
30,Przemek Sobczak,26 янв. 2021 г.,PL,5 звезд: Замечательно,Świetna restauracja!,"Małe kolejki i czas oczekiwania, świeże jedzenie, miła obsługa."
31,Alayah Brennen,25 янв. 2021 г.,ES,3 звезды: Средне,Poor service,"Poor service, food is ok !"
32,Andres Diaz,25 янв. 2021 г.,EC,1 звезда: Плохо,UN PESIMO SERVICIO,"UN PESIMO SERVICIO

Uno venia cansado de un viaje y que mejor que comer Mcdonalds (Cumbaya). Pedimos, la atencion pesima, no tomaron bien nuestra orden. Aparte nos dieron incompleto. Reclame y para variar, que debiamos pagar mas. Que indignacion. Nunca habia tenido un PESIMO SERVICIO como el de hoy."
33,Dave,24 янв. 2021 г.,GB,5 звезд: Замечательно,Love the new spicy vegan wrap on…,Love the new spicy vegan wrap on Mondays.
34,David,24 янв. 2021 г.,US,5 звезд: Замечательно,Online breakfast order,"Did an online order, got to the restaurant, Grand Ave, Surprise, AZ, and went through the drive through really quick even though there were a dozen folks ahead of me. The food was fresh and very good. I was a happy camper."
35,Mary Jane,22 янв. 2021 г.,PH,5 звезд: Замечательно,I just want to express my gratitude…,"I just want to express my gratitude specifically to the staff. It was not a good day for me earlier but one of the crews had changed everything. I was not treated very well at home and at work lately but this young man cheered me up. From ordering my food to serving at my table, it is just excellent. Kudos to you!"
36,Josh C.,21 янв. 2021 г.,US,4 звезды: Отлично,I like the chicken it's tasty.,
37,Angel Cocos,21 янв. 2021 г.,PH,5 звезд: Замечательно,Love their friess!,
38,Grand Island Express,Обновлено 21 янв. 2021 г.,US,4 звезды: Отлично,McDonald's,"McDonald's
1304 Hwy 136 W
Rockport, Mo 64482

All the males and the female staff members are quite friendly and respectful with their customers.
You will get a quick service with a smile!

We have noticed on several occasions that a heavy set white female manager tends to put her nose in her customer's business way too much!

It's usually not a good thing because the customer has no intention to get to know the loud mouth fat female manager inside the store nor outside.

The fat female manager needs to learn how to respect her customer's boundary if he or she were to meet someone at the Hooter's restaurant or at any business location for that matter.
It is far from being the fat manager's business to put in her advice or sarcasm. No customer wants to hear any bad advise given from a fat loser because they are always looking for ways to make some extra cash using her female employees. Fat female managers are well-known for being greedy and self self-absorbed from pleasuring her own self."
39,Devil from Hell,19 янв. 2021 г.,US,1 звезда: Плохо,McDonalds was great 20 years ago !,McDonalds was great 20 years ago good food great price and a nice clean place to go out and have a quick meal. But now they are way over priced and their food tastes like dog chow the bathrooms look like a out house by the side of a freeway and the dinning room is never cleaned . The workers are rude and snotty and can not even count to give change . It is sad how a place like McDonalds that was a American staple for over 70 years is now a joke.
40,Mia,16 янв. 2021 г.,US,2 звезды: Ниже среднего,McDonalds paved the way for fast food,"McDonalds paved the way for fast food. It was fast,good,and economical. There is no savings in fast food anymore. Breakfast prices are way over the top. While I was glad to see the wonderful Egg McMuffin be available 24/7, I was disappointed an extra egg was removed from the dollar menu. $2.19 for an extra egg one sandwich that never is on sale anymore. McDonalds, you should be ashamed. Over $6.00 for a two egg EM. Any deli will give you 2 eggs,meat & cheese on bread or a roll with a small coffee or juice for less. I'm missing Jack in the box with their breakfast Jack. Yep, you should be ashamed at the cost of an extra egg."
41,Mia,16 янв. 2021 г.,GB,3 звезды: Средне,Average food,Average food. Only like the burgers and chicken selects.
42,Sophia Ferreira,15 янв. 2021 г.,BR,1 звезда: Плохо,Péssimo atendimento no restaurante de…,Péssimo atendimento no restaurante de São Pedro da aldeia. A gerente de lá parece q não gosta de ver clientes entrando no restaurante.
43,Mike,14 янв. 2021 г.,US,5 звезд: Замечательно,always tasty mmmm,
44,andrew kirby,14 янв. 2021 г.,US,1 звезда: Плохо,Stay away if you have any food intolerances,"I had several chicken nuggets over the years with green balls in them. What in the world are those? then, I just stopped being able to eat at McD because of fructose intolerance got worse. Why can't you have salads without fructose additives sprinkled on the top? How about using sunflower oil to cook with and get rid of all your contaminated cooking equipment? I get sick when I sit in McD closer to their kitchen just for about 30 minutes. There food is so toxic and bad for you if you are fructose, gluten, etc. intolerant that eating it can literally kill you. I don't know why I could eat some of their food before but not now, but if you have any intolerances and want to live, just stay away from this place. Just eating one bite of their food sets me off and makes me sick for days. I'm not saying that they don't have any good tasting foods, just that they are lethal if you have a food intolerance. Believe me, I know, I almost died from it once."
45,Jane Holland,13 янв. 2021 г.,US,5 звезд: Замечательно,Can’t believe I’m reading five stars…,"Can’t believe I’m reading five stars for McDonald’s. However, obviously the rating is not based on high thoughts around the role it plays in our country and world health, Rather, the consistency of the product there and the staff. They’re always efficient and it’s always clean, I’d rather not stop here, but if I need to, even if there’s a long line, I’m able to always be able to predict I won’t be surprised that there won’t be some surprise it doesn’t make any sense but why am waiting so long, especially if the light appears to be short. It’s fast and efficient and predictable, long line or short line that’s a pretty good track record to keep for over five years since I’ve been going"
46,Sandy Rolstein,13 янв. 2021 г.,US,4 звезды: Отлично,Can’t believe I’m reading five stars…,"Can’t believe I’m reading five stars for McDonald’s. However, obviously the rating is not based on high thoughts around the role it plays in our country and world health, Rather, the consistency of the product there and the staff. They’re always efficient and it’s always clean, I’d rather not stop here, but if I need to, even if there’s a long line, I’m able to always be able to predict I won’t be surprised that there won’t be some surprise it doesn’t make any sense but why am waiting so long, especially if the light appears to be short. It’s fast and efficient and predictable, long line or short line that’s a pretty good track record to keep for over five years since I’ve been going"
47,Andrea,Обновлено 12 янв. 2021 г.,US,1 звезда: Плохо,"McDonald's doesn't believe in ""fresh""…","McDonald's doesn't believe in ""fresh"" fries any longer...why? They cut corners to save.

This is especially true of the Mill Creek, WA location."
48,Dennis Moore,12 янв. 2021 г.,US,3 звезды: Средне,taste bad poor service,
49,Sammy,11 янв. 2021 г.,US,5 звезд: Замечательно,I love this place friendly and helpful…,I love this place friendly and helpful people
50,Caroline Belsham,10 янв. 2021 г.,GB,1 звезда: Плохо,Some things never improve,"McDonalds, Debdale, Gorton, Manchester. Don't think we have had a single positive experience at your store in the 20 years I have lived near by, from missing items, wrong items, rude staff, staff fighting/arguing. Today we visited and found the store closed (fair enough) so we had no option but to use the drive through (I would not choose to due to the errors that happen every visit) after ordering our food, one of which was a big tasty (asked if we wanted bacon, we answered yes) not much of a queue, got to the payment window and was told there was a problem and could we go to the next window, did that only to be told we could not pay there and would have to go all the way round again despite being sent there, trouble is the queue was now all the way round the car park, finally paid and picked up the food complete with dips and drinks, parked up while I checked the order due to previous errors only to find a big mac, no big tasty, as the inside was closed had to make my way through cars back to the drive in window, told them what happened and got told someone would come out to us, 10 minutes later the food turned up, although the man that brought it was more interested in showing us we only got charged for a big mac, like that made it any better (big tasty box - did check) but no dips or straws so had to go back yet again, then once home found the big tasty had no bacon! Everyone makes mistakes but this place never gets it right, keep saying ""maybe this time"" but no, that's it now, gonna drive further to the next store, maybe they will know how to run a business properly."
51,vincent graham,8 янв. 2021 г.,GB,1 звезда: Плохо,Never will I eat from you theives,Order food for delivery at Pitsea Basildon. They took my money. Missing items. I am basically told tough. You are theives...Nasty company
52,HB,4 янв. 2021 г.,US,5 звезд: Замечательно,Big Mac is king,Big Mac is king! The service is usually quick and food is usually great as long as it’s hot and fresh. Fries are killer too!
53,Lucia Gonzalez,3 янв. 2021 г.,ES,1 звезда: Плохо,Macas púdrete🤢🤢🤢,"Las hamburguesas traen trozos grandes de huesos, la lechuga está seca, el pan está duro, ponen mucha lechuga y cuando abres la hamburguesa está todo por fuera, los trabajadores son muy borde y no te atienden bien y a la media hora, los macflurrys hay cosas líquidas blancas, la música que ponen es depresiva y no ponen cosas modernas, hay lechuga por todas las mesas, las paredes están llenas de ketchup y tikets."
54,Jordyn Jirani,30 дек. 2020 г.,TR,2 звезды: Ниже среднего,I doubt that what I eat is meat,
55,Michele,Обновлено 28 дек. 2020 г.,US,1 звезда: Плохо,overcharged for MY order then got home…,"McDonald's Woodland HIlls Ca Erwin St overcharged for MY order then got home and it was nothing close to what I ordered. I questioned the amt twice before leaving and what I had ordered, but, both the manager and cashier rudely insisted the price was correct Reported to corp only to be told the store that made the error would contact me I still amd waiting after 3 weeks"
56,TheChampIsHere,28 дек. 2020 г.,DE,3 звезды: Средне,Garbage fries...,"You can tell their fries are really bad when they get delivered to you by UberEats or any other delivery service. Soggy, tasteless, and just awful. Burgers are decent tho."
57,Joseph Bell,23 дек. 2020 г.,GB,4 звезды: Отлично,great help from the team,"Okay hør her, jeg er hårdt sur, bestilte 7 tops, en chicken salsa og en team box med 20 nuggies, ing?

Hvad får jeg? 3 SØLLE TOPS, en chicken salsa jeg ikke engang har pakket ud og 2 forkerte dips med til mine nuggies. Mine mods kunne gøre det bedre end jeres fuldtidsansatte. I skylder seriøst en ny box

xqKaren"
58,Vanilla Lux,23 дек. 2020 г.,DE,5 звезд: Замечательно,Bring back Signature Brie <3,"Brie was the top tier burger that McDonalds ever had on sale, but Double Big Tasty is not that far behind. My favourite place to eat Fast Food, with some apple pies to finish."
59,Ana Rodriguez sanchez,22 дек. 2020 г.,ES,3 звезды: Средне,Me ha gustado bastante la comida y el…,Me ha gustado bastante la comida y el personal bastante bueno
60,Frank Gargone,22 дек. 2020 г.,US,2 звезды: Ниже среднего,service was slow…,i moved to GA and the service was slow and the grease probable wasn't changed in like a year
61,Jenny,19 дек. 2020 г.,GB,3 звезды: Средне,Down'size'. am i right?,I love mcdonalds and have it at least 3 times a week. Only downside is that i am now a size 24. I used to be a size 8. Maybe i should say the only down'size' am i right!
62,Hora do Rush,19 дек. 2020 г.,BR,1 звезда: Плохо,Loja av Itaquera.,"Loja av. Itaquera, sempre fui bem atendido, mas na última vez foi péssimo. Drive true não estava cheio, demorou 40 minutos e quando fui retirar o pedido estava tudo errado . E aí mais espera e veio errado Dr novo . Depois de muito tempo sai com o pedido"
